,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,Address,age_house,is_basement,is_renovated
0,313000.0,3.0,1.5,1340,7912,1.5,0,0,3,1340,1522,70,0,1
1,2384000.0,5.0,2.5,3650,9050,2.0,0,4,5,3370,3899,104,1,0
2,342000.0,3.0,2.0,1930,11947,1.0,0,0,4,1930,2291,59,0,0
3,420000.0,3.0,2.25,2000,8030,1.0,0,0,4,1000,4263,62,1,0
4,550000.0,4.0,2.5,1940,10500,1.0,0,0,4,1140,4352,49,1,1
5,490000.0,2.0,1.0,880,6380,1.0,0,0,3,880,3521,87,0,1
6,335000.0,2.0,2.0,1350,2560,1.0,0,0,3,1350,2286,49,0,0
7,482000.0,4.0,2.5,2710,35868,2.0,0,0,3,2710,2038,36,0,0
8,452500.0,3.0,2.5,2430,88426,1.0,0,0,4,1570,3369,40,1,0
9,640000.0,4.0,2.0,1520,6200,1.5,0,0,3,1520,3846,80,0,1
10,463000.0,3.0,1.75,1710,7320,1.0,0,0,3,1710,4510,77,0,1
11,1400000.0,4.0,2.5,2920,4000,1.5,0,0,5,1910,3025,116,1,1
12,588500.0,3.0,1.75,2330,14892,1.0,0,0,3,1970,1473,45,1,0
13,365000.0,3.0,1.0,1090,6435,1.0,0,0,4,1090,2176,70,0,1
14,1200000.0,5.0,2.75,2910,9480,1.5,0,0,3,2910,2905,86,0,1
15,242500.0,3.0,1.5,1200,9720,1.0,0,0,4,1200,808,60,0,0
16,419000.0,3.0,1.5,1570,6700,1.0,0,0,4,1570,1060,69,0,0
17,367500.0,4.0,3.0,3110,7231,2.0,0,0,3,3110,276,28,0,0
18,257950.0,3.0,1.75,1370,5858,1.0,0,0,3,1370,1147,38,0,1
19,275000.0,3.0,1.5,1180,10277,1.0,0,0,3,1180,528,42,0,1
20,750000.0,3.0,1.75,2240,10578,2.0,0,0,5,1550,2722,102,1,0
21,435000.0,4.0,1.0,1450,8800,1.0,0,0,4,1450,3053,71,0,1
22,626000.0,3.0,2.25,1750,1572,2.5,0,0,3,1470,2654,20,1,0
23,612500.0,4.0,2.5,2730,12261,2.0,0,0,3,2730,71,34,0,0
24,495000.0,4.0,1.75,1600,6380,1.0,0,0,3,1130,1687,66,1,1
25,285000.0,3.0,2.5,2090,10834,1.0,0,0,4,1360,2419,38,1,0
26,615000.0,3.0,1.75,2360,7291,1.0,0,0,4,1360,4233,77,1,0
27,698000.0,4.0,2.25,2200,11250,1.5,0,0,5,1300,106,105,1,0
28,675000.0,5.0,2.5,2820,67518,2.0,0,0,3,2820,2021,46,0,1
29,790000.0,3.0,2.5,2600,4750,1.0,0,0,4,1700,2793,74,1,1
30,382500.0,4.0,1.75,1560,8700,1.0,0,0,4,1560,820,58,0,0
31,499950.0,4.0,2.5,2860,3345,2.0,0,0,3,2190,1673,21,1,1
32,650000.0,4.0,2.0,1820,5000,1.5,0,1,3,1640,3921,80,1,1
33,625000.0,4.0,2.5,2820,8408,2.0,0,0,3,2820,1295,11,0,0
34,400000.0,4.0,2.5,3630,42884,1.5,0,0,3,2300,3507,46,1,1
35,604000.0,3.0,2.5,3240,33151,2.0,0,2,3,3240,2619,30,0,0
36,440000.0,2.0,1.0,800,4850,1.0,0,0,4,800,3402,81,0,0
37,287200.0,3.0,3.0,1850,19966,1.0,0,0,4,1090,1954,33,1,0
38,403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,1399,68,1,0
39,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,2936,70,1,1
40,335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,3291,47,0,1
41,260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,1684,51,0,0
42,308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,440,75,0,1
43,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,3290,35,0,1
44,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,4020,76,0,0
45,315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,1101,57,0,1
46,437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,2274,48,0,0
47,407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,3227,29,0,0
48,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,2307,24,0,0
49,838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,1091,24,0,0
50,630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,2314,25,0,0
51,550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,3056,46,0,1
52,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,3731,96,1,0
53,284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,2733,57,0,1
54,470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,1604,49,1,0
55,430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,3114,71,1,1
56,491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,2960,57,0,1
57,785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,3986,19,0,0
58,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,2820,17,1,0
59,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,3666,16,1,0
60,555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,2894,13,0,1
61,459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,774,12,0,1
62,625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,4502,18,1,0
63,300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,2537,19,0,0
64,625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,3615,13,0,1
65,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,4135,81,0,0
66,379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,685,39,1,0
67,310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,4012,52,0,0
68,775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,663,21,0,1
69,365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,719,37,1,0
70,331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,4398,35,1,1
71,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,1007,45,1,0
72,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1722,125,1,1
73,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,1895,38,0,1
74,900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,752,97,0,1
75,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,823,25,1,0
76,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,402,43,1,1
77,780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,1977,29,0,0
78,755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,580,65,1,1
79,705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,2682,22,0,0
80,627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,1533,52,1,1
81,865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,1382,27,0,1
82,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,4275,83,1,0
83,410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,2123,47,1,1
84,485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,882,46,1,0
85,400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,1786,77,0,0
86,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,1757,117,0,0
87,620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,132,20,0,0
88,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,4359,19,1,0
89,232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,1692,67,0,1
90,800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,383,35,0,0
91,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,644,76,1,1
92,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,542,117,1,0
93,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,1850,86,1,1
94,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,2851,81,1,0
95,541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,3517,65,1,1
96,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,2880,116,0,1
97,384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,301,57,1,1
98,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,4256,20,0,0
99,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,3058,54,1,0
100,736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,1317,25,0,0
101,570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,66,50,1,0
102,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,1854,64,0,1
103,328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,571,27,0,1
104,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,800,83,1,1
105,499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,2823,19,0,0
106,501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,2180,62,1,1
107,1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,4294,33,0,0
108,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,3309,70,0,1
109,220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,3433,54,0,0
110,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,3224,101,1,1
111,309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,1943,19,0,0
112,300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,2363,39,0,0
