GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Type_Occupation,Family_Members,age,Employed,Outcome
1,1,1,0,180000.0,1,1,1,1,13,2,51,0,1
0,1,0,0,315000.0,0,1,1,1,2,2,37,1,1
0,1,0,0,315000.0,0,1,1,1,2,2,37,1,1
0,1,0,0,315000.0,0,1,1,1,2,2,37,1,1
0,0,0,0,180000.0,1,4,1,1,13,2,60,0,1
0,1,1,0,90000.0,3,4,1,1,3,2,51,1,1
0,1,1,0,90000.0,3,4,1,1,3,2,51,1,1
1,0,1,0,270000.0,3,4,1,1,9,2,46,1,1
1,0,1,0,270000.0,3,4,3,1,9,2,46,1,1
0,0,1,0,126000.0,0,1,3,1,16,1,51,1,1
0,0,1,0,126000.0,0,1,3,1,16,1,51,1,1
1,0,1,0,90000.0,1,4,1,1,13,2,51,1,1
1,0,0,0,202500.0,3,1,3,1,9,1,35,1,1
1,1,1,0,202500.0,0,4,0,1,9,2,32,1,1
1,0,1,0,157500.0,0,1,0,1,0,2,48,1,1
0,0,1,2,112500.0,0,4,1,1,16,4,33,1,1
0,0,1,0,180000.0,3,1,1,1,9,2,43,1,1
0,0,1,0,112500.0,1,4,1,1,13,2,59,0,1
0,0,1,0,90000.0,3,3,3,4,1,2,32,1,1
0,0,1,0,112500.0,1,4,1,1,13,2,59,0,1
0,0,0,0,135000.0,3,1,3,1,9,1,29,1,1
0,1,0,1,135000.0,3,4,1,1,16,3,43,1,1
1,0,1,0,180000.0,3,4,1,1,9,2,35,1,1
1,1,0,0,112500.0,2,4,3,1,5,2,55,1,1
1,1,1,0,292500.0,3,1,1,1,5,2,57,1,1
0,1,1,0,76500.0,1,4,1,1,13,2,65,0,1
1,1,1,0,215100.0,0,4,1,1,9,2,52,1,1
0,1,0,2,270000.0,2,1,1,1,19,4,43,1,1
0,0,1,0,225000.0,1,4,3,1,13,1,63,0,1
0,0,1,0,225000.0,1,4,3,1,13,1,63,0,1
0,0,1,0,225000.0,1,4,3,1,13,1,63,0,1
0,0,1,1,157500.0,0,4,3,1,10,3,42,1,1
0,0,1,1,157500.0,1,4,3,1,10,3,42,1,1
0,0,1,1,67500.0,0,4,1,1,0,3,51,1,1
1,1,0,1,180000.0,0,4,1,1,9,3,30,1,1
1,1,0,1,180000.0,0,4,1,1,9,3,30,1,1
1,0,0,0,157500.0,3,4,1,1,9,2,50,1,1
1,0,0,0,157500.0,3,4,1,1,9,2,50,1,1
1,0,0,0,171000.0,0,2,3,1,7,1,31,1,1
1,1,0,1,135000.0,3,4,1,1,9,3,26,1,1
1,1,0,1,135000.0,3,4,1,1,9,3,26,1,1
0,0,1,0,103500.0,3,4,1,1,8,2,28,1,1
0,0,1,0,103500.0,3,4,1,1,8,2,28,1,1
1,1,1,0,225000.0,3,4,1,1,5,2,49,1,1
1,1,1,0,225000.0,3,4,1,1,5,2,49,1,1
1,1,1,0,225000.0,3,4,1,1,5,2,49,1,1
0,1,1,0,180000.0,0,4,1,1,11,2,51,1,1
1,0,0,1,157500.0,3,4,1,1,5,3,44,1,1
1,0,0,1,157500.0,3,4,1,1,5,1,44,1,1
0,0,0,2,180000.0,3,4,1,1,9,4,45,1,1
0,0,0,2,180000.0,3,4,3,1,9,4,45,1,1
0,0,1,0,99000.0,1,1,2,1,13,1,67,0,1
