customer_id,order_date,product_id,category_id,category_name,product_name,quantity,price,payment_method,city,review_score,gender,age,order_month
13542,2024-12-17,784,10,1,16,2,373.36,2,522,1.0,0,56,12
23188,2024-06-01,682,50,4,18,5,299.34,2,668,5.0,1,59,6
55098,2025-02-04,684,50,4,22,5,23.0,2,942,5.0,0,64,2
65208,2024-10-28,204,40,0,19,2,230.11,0,244,5.0,1,34,10
63872,2024-05-10,202,20,2,15,4,176.72,2,281,1.0,0,33,5
29989,2024-12-03,829,10,1,16,4,196.16,0,186,5.0,0,21,12
79809,2024-06-07,706,10,1,21,5,272.75,0,568,5.0,1,57,6
27282,2024-07-15,405,50,4,24,2,292.9,1,5,5.0,0,60,7
41394,2024-12-17,549,30,3,12,3,429.11,2,922,3.0,0,69,12
48695,2024-04-12,545,30,3,1,4,191.39,2,360,5.0,0,34,4
27389,2025-01-31,549,10,1,17,2,321.14,1,193,5.0,1,26,1
74067,2024-06-27,773,40,0,7,3,494.87,1,451,5.0,1,37,6
49331,2024-05-21,526,30,3,12,5,122.23,2,6,5.0,1,32,5
61360,2024-12-03,544,10,1,6,3,457.44,1,478,5.0,1,60,12
24426,2025-02-07,943,40,0,11,2,443.49,1,828,4.0,1,67,2
10486,2024-09-13,297,20,2,14,2,274.1,1,616,4.0,0,54,9
75474,2024-05-22,107,40,0,7,1,117.47,2,418,4.0,1,73,5
79898,2024-03-19,871,10,1,16,5,84.89,2,211,5.0,1,68,3
41736,2024-10-28,457,10,1,21,4,196.99,0,542,4.0,1,72,10
69719,2024-12-24,941,10,1,16,2,344.04,1,591,5.0,0,29,12
93992,2024-12-05,853,30,3,12,1,153.82,2,896,4.0,1,29,12
65011,2025-02-20,938,30,3,2,4,383.36,1,140,5.0,0,42,2
80441,2024-07-26,867,30,3,2,2,308.4,2,627,3.0,1,52,7
95874,2024-12-30,424,50,4,18,3,303.48,0,141,5.0,1,48,12
11145,2024-04-09,461,30,3,1,1,38.38,1,122,5.0,1,34,4
81289,2024-07-18,485,40,0,8,1,489.21,1,562,5.0,1,60,7
36732,2025-01-12,704,40,0,4,3,90.91,1,545,5.0,1,42,1
33678,2024-04-01,732,20,2,14,1,380.08,1,659,1.0,1,29,4
71289,2025-01-11,815,30,3,23,1,450.81,0,168,5.0,1,50,1
86746,2024-03-24,768,30,3,12,3,298.27,2,454,4.0,1,62,3
23094,2025-01-17,658,10,1,6,2,43.03,2,335,5.0,1,56,1
30037,2024-08-05,314,20,2,3,5,337.8,2,393,4.0,0,28,8
61642,2024-11-24,264,50,4,22,1,241.61,0,210,5.0,1,19,11
52189,2024-09-01,653,10,1,21,1,183.61,0,382,4.0,0,49,9
